home_matches,home_wins,home_draws,home_losses,home_points,home_points_per_match,home_goals_for,home_goals_against,home_goals_for_per_match,home_goals_against_per_match,home_goal_difference,home_home_matches,home_home_wins,home_home_draws,home_home_losses,home_home_goals_for,home_home_goals_against,home_away_matches,home_away_wins,home_away_draws,home_away_losses,home_away_goals_for,home_away_goals_against,home_last10_matches,home_last10_wins,home_last10_draws,home_last10_losses,home_last10_points,home_last10_goals_for,home_last10_goals_against,home_last5_matches,home_last5_wins,home_last5_draws,home_last5_losses,home_last5_points,home_last5_goals_for,home_last5_goals_against,away_matches,away_wins,away_draws,away_losses,away_points,away_points_per_match,away_goals_for,away_goals_against,away_goals_for_per_match,away_goals_against_per_match,away_goal_difference,away_home_matches,away_home_wins,away_home_draws,away_home_losses,away_home_goals_for,away_home_goals_against,away_away_matches,away_away_wins,away_away_draws,away_away_losses,away_away_goals_for,away_away_goals_against,away_last10_matches,away_last10_wins,away_last10_draws,away_last10_losses,away_last10_points,away_last10_goals_for,away_last10_goals_against,away_last5_matches,away_last5_wins,away_last5_draws,away_last5_losses,away_last5_points,away_last5_goals_for,away_last5_goals_against,diff_points_per_match,diff_goals_for_per_match,diff_goals_against_per_match,diff_goal_difference,diff_last5_points,diff_last10_points,diff_last5_goals_for,diff_last10_goals_for,home_prior_matches,away_prior_matches,home_prior_points,away_prior_points
4,3,1,0,10,2.5,11,4,2.75,1.0,7,1,1,0,0,2,0,3,2,1,0,9,4,4,3,1,0,10,11,4,4,3,1,0,10,11,4,4,0,1,3,1,0.25,4,7,1.0,1.75,-3,3,0,1,2,3,5,1,0,0,1,1,2,4,0,1,3,1,4,7,4,0,1,3,1,4,7,2.25,1.75,-0.75,10,9,9,7,7,4,4,10,1
4,3,1,0,10,2.5,9,4,2.25,1.0,5,1,1,0,0,3,1,3,2,1,0,6,3,4,3,1,0,10,9,4,4,3,1,0,10,9,4,4,4,0,0,12,3.0,11,2,2.75,0.5,9,2,2,0,0,6,1,2,2,0,0,5,1,4,4,0,0,12,11,2,4,4,0,0,12,11,2,-0.5,-0.5,0.5,-4,-2,-2,-2,-2,4,4,10,12
4,1,0,3,3,0.75,7,7,1.75,1.75,0,2,1,0,1,6,3,2,0,0,2,1,4,4,1,0,3,3,7,7,4,1,0,3,3,7,7,4,1,3,0,6,1.5,8,5,2.0,1.25,3,3,0,3,0,5,5,1,1,0,0,3,0,4,1,3,0,6,8,5,4,1,3,0,6,8,5,-0.75,-0.25,0.5,-3,-3,-3,-1,-1,4,4,3,6
4,0,2,2,2,0.5,4,8,1.0,2.0,-4,2,0,1,1,1,3,2,0,1,1,3,5,4,0,2,2,2,4,8,4,0,2,2,2,4,8,4,1,1,2,4,1.0,5,5,1.25,1.25,0,3,1,1,1,4,2,1,0,0,1,1,3,4,1,1,2,4,5,5,4,1,1,2,4,5,5,-0.5,-0.25,0.75,-4,-2,-2,-1,-1,4,4,2,4
4,0,1,3,1,0.25,2,8,0.5,2.0,-6,2,0,0,2,0,2,2,0,1,1,2,6,4,0,1,3,1,2,8,4,0,1,3,1,2,8,4,3,1,0,10,2.5,8,4,2.0,1.0,4,3,2,1,0,7,4,1,1,0,0,1,0,4,3,1,0,10,8,4,4,3,1,0,10,8,4,-2.25,-1.5,1.0,-10,-9,-9,-6,-6,4,4,1,10
4,2,0,2,6,1.5,6,6,1.5,1.5,0,1,1,0,0,2,1,3,1,0,2,4,5,4,2,0,2,6,6,6,4,2,0,2,6,6,6,3,0,0,3,0,0.0,3,11,1.0,3.6666666666666665,-8,3,0,0,3,3,11,0,0,0,0,0,0,3,0,0,3,0,3,11,3,0,0,3,0,3,11,1.5,0.5,-2.1666666666666665,8,6,6,3,3,4,3,6,0
5,2,1,2,7,1.4,6,7,1.2,1.4,-1,2,1,0,1,3,3,3,1,1,1,3,4,5,2,1,2,7,6,7,5,2,1,2,7,6,7,5,2,1,2,7,1.4,5,10,1.0,2.0,-5,2,1,0,1,1,3,3,1,1,1,4,7,5,2,1,2,7,5,10,5,2,1,2,7,5,10,0.0,0.1999999999999999,-0.6000000000000001,4,0,0,1,1,5,5,7,7
4,0,0,4,0,0.0,2,10,0.5,2.5,-8,1,0,0,1,1,2,3,0,0,3,1,8,4,0,0,4,0,2,10,4,0,0,4,0,2,10,5,1,0,4,3,0.6,5,11,1.0,2.2,-6,2,0,0,2,2,7,3,1,0,2,3,4,5,1,0,4,3,5,11,5,1,0,4,3,5,11,-0.6,-0.5,0.2999999999999998,-2,-3,-3,-3,-3,4,5,0,3
5,5,0,0,15,3.0,14,3,2.8,0.6,11,2,2,0,0,6,1,3,3,0,0,8,2,5,5,0,0,15,14,3,5,5,0,0,15,14,3,5,2,1,2,7,1.4,7,7,1.4,1.4,0,2,1,1,0,3,2,3,1,0,2,4,5,5,2,1,2,7,7,7,5,2,1,2,7,7,7,1.6,1.4,-0.7999999999999999,11,8,8,7,7,5,5,15,7
5,1,3,1,6,1.2,8,6,1.6,1.2,2,3,0,3,0,5,5,2,1,0,1,3,1,5,1,3,1,6,8,6,5,1,3,1,6,8,6,5,0,1,4,1,0.2,2,9,0.4,1.8,-7,3,0,0,3,0,3,2,0,1,1,2,6,5,0,1,4,1,2,9,5,0,1,4,1,2,9,1.0,1.2000000000000002,-0.6000000000000001,9,5,5,6,6,5,5,6,1
4,0,1,3,1,0.25,4,12,1.0,3.0,-8,3,0,0,3,3,11,1,0,1,0,1,1,4,0,1,3,1,4,12,4,0,1,3,1,4,12,5,2,0,3,6,1.2,6,10,1.2,2.0,-4,3,2,0,1,5,5,2,0,0,2,1,5,5,2,0,3,6,6,10,5,2,0,3,6,6,10,-0.95,-0.1999999999999999,1.0,-4,-5,-5,-2,-2,4,5,1,6
5,4,1,0,13,2.6,9,4,1.8,0.8,5,3,2,1,0,7,4,2,2,0,0,2,0,5,4,1,0,13,9,4,5,4,1,0,13,9,4,5,4,1,0,13,2.6,13,5,2.6,1.0,8,2,2,0,0,4,1,3,2,1,0,9,4,5,4,1,0,13,13,5,5,4,1,0,13,13,5,0.0,-0.8,-0.1999999999999999,-3,0,0,-4,-4,5,5,13,13
5,4,0,1,12,2.4,15,7,3.0,1.4,8,3,2,0,1,8,5,2,2,0,0,7,2,5,4,0,1,12,15,7,5,4,0,1,12,15,7,5,0,3,2,3,0.6,4,8,0.8,1.6,-4,3,0,2,1,1,3,2,0,1,1,3,5,5,0,3,2,3,4,8,5,0,3,2,3,4,8,1.7999999999999998,2.2,-0.2000000000000001,12,9,9,11,11,5,5,12,3
